5,SU-18,5
5,SU-26,5
5,SU-5,5
5,SU-122A,5
5,SU-8,5
5,S-51,5
5,SU-14-1,5
5,SU-14-2,5
5,212A,5
5,Object 261,5
1,T1 HMC,5
1,T18 HMC,5
1,M7 Priest,5
1,T82 HMC,5
1,M37,5
1,M41 HMC,5
1,M44,5
1,M12,5
1,M40/M43,5
1,M53/M55,5
1,T92 HMC,5
2,Loyd Gun Carriage,5
2,Sexton II,5
2,Sexton I,5
2,Birch Gun,5
2,Bishop,5
2,FV304,5
2,Crusader 5.5-in. SP,5
2,FV207,5
2,FV3805,5
2,Conqueror Gun Carriage,5
3,G.Pz. Mk. VI (e),5
3,Sturmpanzer I Bison,5
3,Wespe,5
3,Pz.Sfl. IVb,5
3,Sturmpanzer II,5
3,Grille,5
3,Hummel,5
3,G.W. Panther,5
3,G.W. Tiger (P),5
3,G.W. Tiger,5
3,G.W. E 100,5
4,Renault FT 75 BS,5
4,Lorraine 39L AM,5
4,AMX 105 AM mle. 47,5
4,AMX 13 105 AM mle. 50,5
4,105 leFH18B2,5
4,AMX 13 F3 AM,5
4,Lorraine 155 mle. 50,5
4,Lorraine 155 mle. 51,5
4,Bat.-Châtillon 155 55,5
4,Bat.-Châtillon 155 58,5
